Amsterdam= Helsinki 0.6791923642158508, Vienna 0.6228755712509155, Las-Vegas 0.6143172383308411, Florence 0.6095810532569885, rio-de-janeiro 0.6037969589233398, Delhi 0.5768492221832275, Warsaw 0.5705986618995667, agia-napa 0.5459631681442261, Glasgow 0.5216631293296814, Dubai 0.5003716349601746
Sevilla-province= Varna 0.8703755140304565, Lviv 0.7570819854736328, Montevideo 0.7522026896476746, lemesos-limasol 0.7464443445205688, mumbai-bombay 0.7443088889122009, Split 0.7053800821304321, punta-del-este 0.6779414415359497, Karpathos 0.674997091293335, Funchal 0.6700398921966553, Thessaloniki 0.6662598848342896
Bansko= Batumi 0.6692112684249878, Innsbruck 0.665303111076355, kathmandu 0.6378486156463623, Bremen-city 0.6015549898147583, punta-del-este 0.5593628883361816, mumbai-bombay 0.5533517599105835, lemesos-limasol 0.5434098243713379, Eilat 0.5352023839950562, Varna 0.5350237488746643, Belgrade 0.5286393165588379
west-Kilimanjaro= Zichron-Ya-akov 0.6957300901412964, Tashkent 0.6730104684829712, Frankfurt-region 0.6547001004219055, Sarajevo 0.6068972945213318, Samara 0.6049751043319702, kathmandu 0.5979183316230774, Johannesburg 0.5811543464660645, Nizhny-Novgorod 0.5785014033317566, Osaka 0.5582541227340698, Tiberias 0.5461695194244385
Nahariya= Irkutsk 0.5330653190612793, Cairo 0.4909346103668213, Verona 0.47492825984954834, Black-Forest 0.4668821096420288, Guatemala-City 0.4629983901977539, Santiago 0.4588748514652252, Mahe 0.436026394367218, San-Diego 0.4319406747817993, Colombo 0.4209197163581848, Minneapolis 0.41963833570480347
Montevideo= Sevilla-province 0.7522026896476746, Bergamo 0.7289299964904785, Antwerp 0.7038613557815552, Funchal 0.7006288170814514, Toulouse 0.6859490871429443, Rosh-pina 0.6372953653335571, Varna 0.6215392351150513, lemesos-limasol 0.6083554625511169, mumbai-bombay 0.6072393655776978, Zanzibar-archipelago 0.584172248840332
Podgorica= Kazan 0.9437063336372375, Phnom-Penh 0.8888528943061829, piestany 0.8632620573043823, Guangzhou 0.8235830068588257, Addis-Ababa 0.7870317101478577, Bishkek 0.768929123878479, Shenzhen 0.7590171694755554, baku-baki 0.7110717296600342, phuket-province 0.6983882188796997, yangon-rangoon 0.6742157340049744
Mauritius= punta-del-este 0.6976438164710999, Yekaterinburg 0.6726588606834412, Houston 0.6263343095779419, Thessaloniki 0.6246761679649353, Tenerife 0.6106655597686768, Varna 0.5757778286933899, Calgary 0.5745832920074463, mumbai-bombay 0.5642044544219971, Burgas 0.5623791813850403, Toulouse 0.5445666313171387
Funchal= punta-del-este 0.7256947755813599, Montevideo 0.7006288170814514, Antwerp 0.7001849412918091, Varna 0.6967851519584656, mumbai-bombay 0.6862257122993469, Sevilla-province 0.6700398921966553, Borovets 0.6432561278343201, Toulouse 0.6389634609222412, Lviv 0.6263269186019897, Rosh-pina 0.6184150576591492
Osaka= west-Kilimanjaro 0.5582541823387146, Dnipropetrovsk 0.5415098071098328, Skopje 0.5375264883041382, Johannesburg 0.5347964763641357, Dead-Sea 0.49927082657814026, Berlin 0.47446662187576294, Seoul 0.4445664882659912, Taipei 0.44290387630462646, Oakland 0.4413689374923706, Nahariya 0.41491541266441345
Zichron-Ya-akov= san-jose 0.8374788761138916, Nizhny-Novgorod 0.7338569164276123, Tashkent 0.6971107721328735, west-Kilimanjaro 0.6957300305366516, Zakynthos 0.6570515036582947, Manila 0.6563516855239868, lemesos-limasol 0.5816413164138794, Johannesburg 0.5634207725524902, Dusseldorf 0.5600926876068115, Mitzpe-Ramon 0.539352536201477
Khabarovsk= Chiang-Mai 0.6573565006256104, Liverpool 0.6539205312728882, Turin 0.6387520432472229, Basel 0.6194593906402588, Hanoi 0.6141213774681091, el-Salvador 0.5902767181396484, Strasbourg 0.5757927894592285, Tenerife 0.5672671794891357, Denver 0.5609877109527588, Karpathos 0.5567691326141357
Krasnodar= Toulouse 0.6879657506942749, Crete 0.6772313117980957, Calgary 0.6739819049835205, rostov-veliky 0.6527787446975708, Sevilla-province 0.6511198282241821, Larnaka 0.6422580480575562, Dubrovnik 0.6416670083999634, Plovdiv 0.6396640539169312, lemesos-limasol 0.6361809968948364, bucharest 0.6316402554512024
Toulouse= Bergamo 0.7299118041992188, lemesos-limasol 0.712257981300354, Krasnodar 0.6879657506942749, Montevideo 0.6859490871429443, Bremen-city 0.6843136548995972, Dubrovnik 0.6804509162902832, Houston 0.6548171639442444, Sevilla-province 0.6495345830917358, punta-del-este 0.6456238627433777, Funchal 0.6389634609222412
Hawaii= Stuttgart 0.5375848412513733, San-Francisco 0.5152401924133301, Los-Angeles 0.5079584121704102, phuket-province 0.49901726841926575, Bishkek 0.49831220507621765, Taipei 0.49364787340164185, Helsinki 0.49224019050598145, Chicago 0.4479515850543976, rio-de-janeiro 0.43320202827453613, Dublin 0.43095117807388306
Tashkent= Frankfurt-region 0.7960837483406067, Male 0.7462303638458252, Katowice 0.6994101405143738, Zichron-Ya-akov 0.6971108913421631, west-Kilimanjaro 0.6730104684829712, Salzburg 0.6525182723999023, Astana 0.6520930528640747, kathmandu 0.644654393196106, Mykonos 0.6377171874046326, Kalamata 0.6168339252471924
Ho-Chi-Minh-City= Taormina 0.6991182565689087, Sorrento 0.6450791358947754, Catania 0.6309149265289307, Bologna 0.5904628038406372, Manchester 0.5862712264060974, Hanoi 0.5822938680648804, Santorini-thira 0.5752242803573608, Pisa 0.5604164600372314, Costa-Brava 0.527656078338623, las-palmas-de-gran-canaria 0.5228130221366882
Ushuaia= Omsk 0.7595165967941284, agia-napa 0.7447140216827393, Nairobi 0.7391794323921204, Winnipeg 0.6930719614028931, Bergen 0.6699157953262329, Eilat 0.6598673462867737, Guatemala-City 0.6583482027053833, Lima 0.6239011287689209, Cluj-Napoca 0.621445894241333, Dead-Sea 0.6203762292861938
Split= Rosh-pina 0.8466976284980774, mumbai-bombay 0.8320721983909607, Zanzibar-archipelago 0.7871304750442505, Dallas 0.7749139070510864, Varna 0.7615774869918823, Zakynthos 0.7134122848510742, Sevilla-province 0.7053800821304321, lemesos-limasol 0.6915829181671143, Kalamata 0.6743141412734985, punta-del-este 0.6254658102989197
Bilbao= Palermo 0.565475344657898, baku-baki 0.5398703813552856, Bremen-city 0.5083876848220825, Tbilisi 0.474001407623291, Colombia 0.46174436807632446, Chisinau 0.46028661727905273, Bogota 0.4550170302391052, Porto 0.4279455244541168, bucharest 0.42429593205451965, Grenoble 0.4212137460708618
Phoenix= Katowice 0.7580544352531433, kathmandu 0.6886653900146484, honolulu-and-waikiki 0.6876976490020752, Simferopol 0.6381080150604248, Acre 0.6171857118606567, Marseille 0.592073380947113, Panama-City 0.5859222412109375, Mykonos 0.5809576511383057, Mexico-City 0.5639095902442932, Reykjavk 0.5457957983016968
Strasbourg= Hanoi 0.8296135663986206, Turin 0.817769467830658, Denver 0.7449959516525269, Costa-Brava 0.6828018426895142, Rovaniemi 0.6825004816055298, Tallinn 0.6790069937705994, Minneapolis 0.6663675904273987, Thessaloniki 0.6462893486022949, Chiang-Mai 0.6457003951072693, Niagara-Falls 0.6298283338546753
tsfat= Amman 0.5807907581329346, Houston 0.4612170159816742, Tiberias 0.4420587122440338, Johannesburg 0.43707507848739624, Mauritius 0.41415417194366455, kathmandu 0.4095677137374878, Edmonton 0.4043947458267212, Sarajevo 0.3953498601913452, Manila 0.39170151948928833, washington-dc 0.38876616954803467
Santiago= Karlovy-Vary 0.7071889638900757, Andorra-la-Vella 0.5134860873222351, Nahariya 0.4588748514652252, Taormina 0.4023243188858032, Amman 0.3988550007343292, Panama-City 0.38918936252593994, Lyon 0.3760024607181549, Salt-Lake-City 0.3664717674255371, Irkutsk 0.3470153212547302, Kaliningrad 0.33592522144317627
Denver= Strasbourg 0.7449960708618164, Bari 0.7034437656402588, Hanoi 0.6397373080253601, Bergen 0.6217468976974487, Costa-Brava 0.6197641491889954, Rovaniemi 0.6128453016281128, Valencia 0.6048921346664429, Basel 0.5989505052566528, Ushuaia 0.5935506820678711, Liverpool 0.5911357998847961
Tirana= Vilnius 0.7110278010368347, brisbane 0.6953229308128357, Bergen 0.6835755109786987, Tuscany 0.680700421333313, Bratislava 0.671772837638855, Iraq 0.667852520942688, lefkosia-south-nicosia 0.6533364057540894, Sofia 0.6419764161109924, Belgrade 0.6413252353668213, Basel 0.6388846635818481
punta-del-este= Varna 0.8195099830627441, mumbai-bombay 0.7985430955886841, Funchal 0.7256947755813599, Houston 0.7185823917388916, Zakynthos 0.7065623998641968, Mauritius 0.6976438760757446, Sevilla-province 0.6779413819313049, Lviv 0.6758393049240112, Ko-Samui 0.6685786843299866, Manila 0.6585291028022766
lefkosia-south-nicosia= Chiang-Mai 0.7665941715240479, Sofia 0.7221556305885315, Liverpool 0.7217329740524292, Lima 0.7069429159164429, Omsk 0.7003724575042725, Baden-Baden 0.688506543636322, Nairobi 0.656491756439209, Tirana 0.6533364057540894, Eilat 0.6478695869445801, Winnipeg 0.6476966142654419
Marmaris= Santorini-thira 0.7963410019874573, brisbane 0.7493053078651428, Zagreb 0.6634730100631714, Iraq 0.6630536317825317, marrakesh 0.6502591371536255, Palma-de-Mallorca 0.6320233345031738, Bratislava 0.6269329786300659, Kosice 0.6076004505157471, Orlando 0.5847216844558716, Odessa 0.5836703181266785
Acre= Sofia 0.6589189767837524, Atlanta 0.6311044692993164, Phoenix 0.6171857118606567, Halifax 0.5956611633300781, Panama-City 0.5867432355880737, Mombasa 0.5847229957580566, Chiang-Mai 0.5409381985664368, Katowice 0.5390418767929077, Marseille 0.534342885017395, Las-Vegas 0.5312376618385315
Antwerp= Montevideo 0.7038613557815552, Funchal 0.7001849412918091, Netanya 0.6536906361579895, Bergamo 0.6196327805519104, Sevilla-province 0.6042611598968506, bucharest 0.5848175287246704, Toulouse 0.5421191453933716, Marmaris 0.515781819820404, Dubrovnik 0.4870869815349579, Vilnius 0.4798678457736969
marrakesh= Kosice 0.6552462577819824, Iraq 0.6536758542060852, Marmaris 0.6502591371536255, brisbane 0.5834989547729492, Palma-de-Mallorca 0.5631270408630371, Santorini-thira 0.5440247058868408, Paris 0.5418152809143066, Bremen-city 0.5334062576293945, Vilnius 0.4941675662994385, Toulouse 0.46683192253112793
Dubai= Goa 0.6590323448181152, Sofia 0.6407747864723206, Iraq 0.6354973316192627, Liverpool 0.632209300994873, Tirana 0.6240882873535156, Naples 0.6214267611503601, Las-Vegas 0.6069999933242798, Belgrade 0.5882023572921753, Riga 0.5557365417480469, Panama-City 0.5541107058525085
honolulu-and-waikiki= Phoenix 0.68769770860672, Panama-City 0.6834039688110352, Simferopol 0.6798927783966064, Corfu 0.6743751764297485, Tiberias 0.6535542607307434, Eilat 0.6394082307815552, Stuttgart 0.6367465257644653, Guatemala-City 0.6052228212356567, kyiv 0.5990439653396606, Mexico-City 0.5955311059951782
Rosh-pina= Split 0.8466975688934326, mumbai-bombay 0.7252526879310608, Zakynthos 0.7195138931274414, Zanzibar-archipelago 0.6634222269058228, Kalamata 0.6572299003601074, Dallas 0.6572011709213257, lemesos-limasol 0.6505077481269836, Montevideo 0.6372954249382019, punta-del-este 0.625383734703064, Sevilla-province 0.6214838624000549
Yerevan= yangon-rangoon 0.8481912612915039, Addis-Ababa 0.8191258907318115, Lisbon 0.7832815647125244, Kazan 0.7402105331420898, Phnom-Penh 0.7123228907585144, Bishkek 0.7091317176818848, piestany 0.6970479488372803, Prague 0.6480737924575806, Moscow 0.6381600499153137, Podgorica 0.6320594549179077
Grenoble= Palermo 0.7639772891998291, Valencia 0.726409912109375, Mombasa 0.7123149633407593, Zagreb 0.7044960856437683, Salzburg 0.667557418346405, Tbilisi 0.6666486859321594, Mykonos 0.6441826820373535, Santorini-thira 0.6243565082550049, brisbane 0.6075894832611084, Male 0.6031935811042786
New-Orleans= Houston 0.5849347114562988, Yekaterinburg 0.5402042865753174, Thessaloniki 0.5289045572280884, Cape-Town 0.505954384803772, Golan-Heights 0.4809235632419586, Tenerife 0.4793122410774231, Edmonton 0.4699506461620331, Tallinn 0.45948463678359985, Larnaka 0.4553757905960083, Mauritius 0.4514976441860199
Taormina= Ho-Chi-Minh-City 0.6991182565689087, Sorrento 0.6848949790000916, Casablanca 0.6531451940536499, Aosta 0.6172749996185303, Manchester 0.5876042246818542, Naples 0.5812398195266724, Lima 0.5630772709846497, Fort-Lauderdale 0.5410193204879761, Minsk 0.5327507257461548, Hanoi 0.5279481410980225
las-palmas-de-gran-canaria= el-Salvador 0.7687737941741943, Mexico-City 0.7478548884391785, Tenerife 0.7224569320678711, Panama-City 0.7221812009811401, Cape-Town 0.7065523266792297, Yekaterinburg 0.634752094745636, Karpathos 0.6343851685523987, Dallas 0.6086910963058472, Catania 0.6053087711334229, kochi-cochin 0.5990080237388611
Sardinia= Miami 0.6813713312149048, Venice 0.6612909436225891, St-Petersburg 0.6514890193939209, Crete 0.6016016006469727, Seattle 0.5855422019958496, Dresden 0.5584979057312012, Niagara-Falls 0.5179182291030884, rostov-veliky 0.5055187344551086, Oslo 0.4943585693836212, Calgary 0.48416900634765625
Caesarea= Basel 0.5496401786804199, quito 0.5422274470329285, Lapland 0.5232318639755249, Palma-de-Mallorca 0.5086221694946289, Tirana 0.473499596118927, Casablanca 0.47300487756729126, Manchester 0.45578423142433167, Turin 0.45164769887924194, Tiberias 0.4377635717391968, Orlando 0.4376857876777649
el-Salvador= Edmonton 0.7716513872146606, las-palmas-de-gran-canaria 0.7687737941741943, Tenerife 0.7595593333244324, Winnipeg 0.6692863702774048, Panama-City 0.6468632221221924, Karpathos 0.6399526596069336, Kalamata 0.615463376045227, Cape-Town 0.6124013662338257, Khabarovsk 0.5902767181396484, Dallas 0.5856583714485168
Plovdiv= lago-di-garda 0.6812846660614014, Krasnodar 0.6396640539169312, Sevilla-province 0.6353141069412231, Thessaloniki 0.6318801045417786, Vancouver 0.588909387588501, Larnaka 0.5810714960098267, bucharest 0.5663665533065796, Karpathos 0.5592652559280396, rostov-veliky 0.5582380890846252, Rovaniemi 0.5302199125289917
Protaras= Eilat 0.7118996977806091, Guatemala-City 0.7116341590881348, Sydney 0.6334128975868225, Black-Forest 0.618757963180542, Winnipeg 0.6182021498680115, agia-napa 0.6172690987586975, Bergen 0.6063902378082275, Tirol 0.5945154428482056, Belgrade 0.5840264558792114, Ushuaia 0.5749806761741638
Bergen= Nairobi 0.7072240114212036, Tirana 0.6835755109786987, Ushuaia 0.6699157953262329, Ljubljana 0.6436258554458618, Fort-Lauderdale 0.629122257232666, Denver 0.6217468976974487, Winnipeg 0.6126771569252014, Belgrade 0.6092736721038818, Protaras 0.6063902378082275, agia-napa 0.5794309973716736
Edmonton= el-Salvador 0.7716513872146606, rostov-veliky 0.7076846361160278, Tenerife 0.6991382241249084, Zakynthos 0.6828708052635193, Oakland 0.670200765132904, Manila 0.659925639629364, mumbai-bombay 0.6581580638885498, Houston 0.6490528583526611, Innsbruck 0.6409487724304199, punta-del-este 0.6383450031280518
Sorrento= Taormina 0.6848949790000916, Ho-Chi-Minh-City 0.6450790762901306, Casablanca 0.6071298122406006, Bari 0.6024031043052673, Lima 0.6020261645317078, Fort-Lauderdale 0.5879557728767395, Panama-City 0.5704332590103149, San-Diego 0.5553563833236694, Karpathos 0.5423002243041992, Santorini-thira 0.5341349840164185
Bordeaux= Riga 0.6041163206100464, Tuscany 0.5723503828048706, Lyon 0.5685495138168335, Moscow 0.561935544013977, Hanover 0.5506094694137573, Kaliningrad 0.5429850816726685, Salt-Lake-City 0.500030517578125, Stockholm 0.47437286376953125, Sofia 0.47401174902915955, Las-Vegas 0.4598407745361328
Samara= west-Kilimanjaro 0.6049751043319702, Ibiza 0.5841454267501831, Baden-Baden 0.5668836832046509, Khabarovsk 0.5494832992553711, Innsbruck 0.5290272235870361, Sarajevo 0.5232036709785461, kathmandu 0.5164586305618286, agia-napa 0.5164011120796204, Dnipropetrovsk 0.5162664651870728, lefkosia-south-nicosia 0.5127348303794861
San-Juan-Bautista= Porto 0.48932403326034546, Rosh-pina 0.46566450595855713, Borovets 0.4307531714439392, Montreal 0.39424529671669006, Funchal 0.388713538646698, Irkutsk 0.38109081983566284, Dusseldorf 0.370376318693161, Seoul 0.35179153084754944, Guangzhou 0.34746891260147095, Johannesburg 0.3406445384025574
Genoa= Ljubljana 0.6581214666366577, Golan-Heights 0.6056078672409058, Turin 0.5810880661010742, Pisa 0.5787661075592041, Orlando 0.5772494077682495, Strasbourg 0.5729559659957886, Hanoi 0.5672233700752258, Valencia 0.5667099356651306, Bologna 0.5657222270965576, Manchester 0.49859291315078735
piestany= Kazan 0.872910737991333, Podgorica 0.8632621765136719, Phnom-Penh 0.8292640447616577, Addis-Ababa 0.7971103191375732, Guangzhou 0.7599015831947327, Bishkek 0.748853325843811, yangon-rangoon 0.7234889268875122, Yerevan 0.6970479488372803, Shenzhen 0.6502269506454468, phuket-province 0.6222672462463379
Glasgow= Stockholm 0.6775864958763123, Liverpool 0.6461519002914429, Copenhagen 0.6364862322807312, Los-Angeles 0.6070064306259155, Tokyo 0.5942771434783936, agia-napa 0.5917987823486328, Bratislava 0.5819991827011108, Omsk 0.581325888633728, Ljubljana 0.5708822011947632, Las-Vegas 0.549274206161499
Bari= Karpathos 0.853827714920044, Denver 0.7034437656402588, Costa-Brava 0.6901860237121582, Rovaniemi 0.672448992729187, Batumi 0.655772864818573, Hanoi 0.6408003568649292, Valencia 0.615947961807251, Catania 0.6060599088668823, Hamburg 0.6036527156829834, Sorrento 0.6024031043052673
Worcester= San-Francisco 0.6299028396606445, Los-Angeles 0.5245463848114014, Salt-Lake-City 0.49555182456970215, Niagara-Falls 0.4784972667694092, pafos 0.4777148365974426, Boston 0.4730098247528076, Turin 0.47232502698898315, Stockholm 0.46157506108283997, Krakow 0.4597938060760498, Mahe 0.4426906108856201
Cairo= Nahariya 0.4909346401691437, puerto-de-la-cruz 0.4732759892940521, lefkosia-south-nicosia 0.4697117209434509, Verona 0.4556843042373657, Izmir 0.45285552740097046, porto-san-paolo-isola-tavolara 0.4379904568195343, Antalya 0.4366881847381592, Aosta 0.39815062284469604, San-Diego 0.397803395986557, Male 0.39078760147094727
Andorra-la-Vella= Salt-Lake-City 0.6215165853500366, Kosice 0.566469669342041, Tuscany 0.5326715707778931, Palma-de-Mallorca 0.5204741954803467, Santiago 0.5134860873222351, Vilnius 0.5133128762245178, Portland 0.4960312247276306, Karlovy-Vary 0.4930364787578583, porto-san-paolo-isola-tavolara 0.4772837162017822, Haifa 0.47107261419296265
quito= Mykonos 0.5975601077079773, Palermo 0.5707502365112305, Mexico-City 0.5653306245803833, Santorini-thira 0.5620269775390625, Belgrade 0.5558051466941833, Tirana 0.5424329042434692, Caesarea 0.5422274470329285, Panama-City 0.5175963640213013, Vilnius 0.5014435052871704, Halifax 0.49653592705726624
Taipei= Chicago 0.6037894487380981, Los-Angeles 0.5591448545455933, Tokyo 0.5587395429611206, Montenegro 0.5355746746063232, Oslo 0.5218534469604492, Dublin 0.5099620819091797, Antalya 0.49744081497192383, Hawaii 0.49364784359931946, Tel-Aviv 0.47567620873451233, Delhi 0.4752033054828644
Niagara-Falls= Sochi 0.7274662256240845, Hanoi 0.6865491271018982, Minneapolis 0.6750388741493225, Larnaka 0.6597757935523987, pafos 0.6495795845985413, San-Diego 0.6484601497650146, Kos 0.631051242351532, Turin 0.6306273341178894, Strasbourg 0.6298283338546753, Thessaloniki 0.6258244514465332
Kazan= Podgorica 0.9437065124511719, Phnom-Penh 0.9145362377166748, piestany 0.8729108572006226, Bishkek 0.853796124458313, Guangzhou 0.8537565469741821, Addis-Ababa 0.8496018648147583, Shenzhen 0.8023456335067749, yangon-rangoon 0.7808903455734253, phuket-province 0.7431600689888, Yerevan 0.7402105927467346
Dresden= Nuremberg 0.7100152373313904, Miami 0.7033941745758057, Toronto 0.5905170440673828, Calgary 0.5836954712867737, Ko-Samui 0.5811841487884521, Munich 0.5746376514434814, Seattle 0.5667850375175476, Innsbruck 0.5637061595916748, Bangkok 0.5626950263977051, Singapore 0.5624675750732422
Almaty= Guangzhou 0.7500331401824951, Bishkek 0.7279071807861328, Kazan 0.634644627571106, Cancun 0.6219677329063416, Shenzhen 0.6214789748191833, Podgorica 0.5990707874298096, baku-baki 0.5891197323799133, phuket-province 0.5676560401916504, Prague 0.5257494449615479, Porto 0.5249340534210205
Montenegro= San-Francisco 0.5823276042938232, Taipei 0.5355746746063232, Los-Angeles 0.5237514972686768, Tokyo 0.5032286643981934, Copenhagen 0.5029717683792114, Oslo 0.5013628005981445, Glasgow 0.4612216055393219, phuket-province 0.46103084087371826, Luxembourg 0.4252805709838867, rio-de-janeiro 0.42520058155059814
Skopje= Cancun 0.5702499747276306, Novosibirsk 0.5570913553237915, Osaka 0.5375264883041382, Seoul 0.5124213695526123, Guangzhou 0.49984776973724365, Philadelphia 0.4845198690891266, Lisbon 0.4731585383415222, Almaty 0.44980454444885254, Barcelona 0.4496261775493622, Beijing 0.4331870973110199
Kalamata= Dallas 0.7768716216087341, kathmandu 0.6774965524673462, Split 0.6743141412734985, Golan-Heights 0.6725340485572815, Rosh-pina 0.6572297811508179, mumbai-bombay 0.6547519564628601, Mykonos 0.651664137840271, Zanzibar-archipelago 0.6220482587814331, Tashkent 0.6168338060379028, el-Salvador 0.6154633164405823
Bremen-city= Toulouse 0.6843136548995972, lemesos-limasol 0.6728581190109253, Dubrovnik 0.6362441778182983, Zakynthos 0.6297721862792969, Kosice 0.6290706992149353, mumbai-bombay 0.6128551959991455, Iraq 0.6068119406700134, Bergamo 0.6056435108184814, Bansko 0.6015550494194031, Innsbruck 0.6009506583213806
Karlovy-Vary= Santiago 0.7071890234947205, puerto-de-la-cruz 0.5008085370063782, Andorra-la-Vella 0.4930364787578583, Astana 0.4912271499633789, Zurich 0.4866088330745697, Taormina 0.41648516058921814, Ho-Chi-Minh-City 0.4116404950618744, Simferopol 0.3932715058326721, Minsk 0.38808387517929077, Geneva 0.38400799036026
Nairobi= Cluj-Napoca 0.7473416924476624, Ushuaia 0.7391794919967651, Bergen 0.7072240114212036, Sarajevo 0.6762858629226685, lefkosia-south-nicosia 0.656491756439209, Jerusalem 0.6563430428504944, Reykjavk 0.6511480212211609, Omsk 0.6219729781150818, Fort-Lauderdale 0.6188876628875732, Aosta 0.609555721282959
Borovets= Funchal 0.6432561278343201, Antwerp 0.45715880393981934, Montevideo 0.43460386991500854, San-Juan-Bautista 0.4307531714439392, Cologne 0.41858184337615967, Innsbruck 0.41516730189323425, punta-del-este 0.40209272503852844, Irkutsk 0.4016694128513336, Sevilla-province 0.3993907570838928, Toulouse 0.3971690535545349
Phnom-Penh= Kazan 0.9145361185073853, Podgorica 0.8888529539108276, piestany 0.8292640447616577, Addis-Ababa 0.82872074842453, yangon-rangoon 0.8280701637268066, Guangzhou 0.7484022378921509, Yerevan 0.7123228907585144, Munich 0.6967931985855103, baku-baki 0.6831086874008179, Bishkek 0.6730889678001404
Bishkek= Kazan 0.853796124458313, Shenzhen 0.787841260433197, phuket-province 0.7735797762870789, Podgorica 0.7689291834831238, Guangzhou 0.7663033604621887, piestany 0.7488533854484558, Almaty 0.7279072403907776, yangon-rangoon 0.7181469798088074, Yerevan 0.7091317176818848, Addis-Ababa 0.7051641941070557
Santo-Domingo= Calgary 0.6768953204154968, Miami 0.6082192063331604, Rovaniemi 0.6028398275375366, Bergamo 0.5364013314247131, Sevilla-province 0.5363291501998901, Lapland 0.5348523855209351, Bari 0.5332491397857666, Montevideo 0.5246695280075073, Varna 0.523749053478241, Rome 0.5182589292526245
Nizhny-Novgorod= Zichron-Ya-akov 0.7338569760322571, Golan-Heights 0.60721755027771, Manila 0.5976477861404419, rostov-veliky 0.5937216281890869, west-Kilimanjaro 0.5785014033317566, Larnaka 0.578438401222229, Niagara-Falls 0.5605142116546631, Tashkent 0.5559808015823364, Male 0.5468848943710327, san-jose 0.5385733842849731
Omsk= agia-napa 0.7968178987503052, Ushuaia 0.7595165967941284, Lima 0.7504152655601501, San-Diego 0.7485562562942505, Liverpool 0.7294926643371582, Odessa 0.7062085866928101, Dead-Sea 0.7039100527763367, lefkosia-south-nicosia 0.7003724575042725, Dnipropetrovsk 0.6881646513938904, Aosta 0.6648528575897217
Austin= Black-Forest 0.6025740504264832, Stockholm 0.5893149971961975, Las-Vegas 0.584138810634613, Warsaw 0.5589662790298462, Winnipeg 0.5446176528930664, Protaras 0.5278581380844116, Glasgow 0.5000451803207397, Halifax 0.4947952926158905, Amsterdam 0.47621357440948486, Tokyo 0.4627808928489685
Luxembourg= phuket-province 0.5394428968429565, Panama-City 0.5261445045471191, Lyon 0.5083311200141907, Cape-Town 0.4890855550765991, las-palmas-de-gran-canaria 0.4781404435634613, Shanghai 0.45802080631256104, Hanover 0.45700109004974365, Phoenix 0.453673779964447, Bansko 0.44310295581817627, Las-Vegas 0.4416312873363495
Kosice= Iraq 0.7733498811721802, marrakesh 0.6552462577819824, Bremen-city 0.6290706396102905, brisbane 0.6242446303367615, Marmaris 0.6076004505157471, Vilnius 0.6056441068649292, Palma-de-Mallorca 0.6032127141952515, Andorra-la-Vella 0.5664696097373962, Halifax 0.5432718396186829, Riga 0.5259743928909302
Astana= Geneva 0.7732904553413391, Zurich 0.6885330677032471, Bologna 0.6824132204055786, Frankfurt-region 0.6639034748077393, puerto-de-la-cruz 0.6628940105438232, Katowice 0.6597532033920288, Male 0.658816933631897, Tashkent 0.6520930528640747, Simferopol 0.6452258825302124, Antalya 0.6256023645401001
Novosibirsk= Beijing 0.7081246376037598, Phnom-Penh 0.6494320631027222, yangon-rangoon 0.5835279226303101, Lisbon 0.582884669303894, Guangzhou 0.5789607167243958, Skopje 0.5570913553237915, Yerevan 0.5545561909675598, Addis-Ababa 0.5544388294219971, Barcelona 0.548586368560791, Kazan 0.5422207713127136
Portland= Riga 0.5912638306617737, Moscow 0.5895615816116333, Hanover 0.5497906804084778, Yerevan 0.5412817597389221, Florence 0.5396184325218201, Istanbul 0.5276632905006409, Barcelona 0.5104544162750244, Vienna 0.49644172191619873, Andorra-la-Vella 0.4960311949253082, Atlanta 0.4899057149887085
Amman= tsfat 0.5807907581329346, las-palmas-de-gran-canaria 0.4622798562049866, kochi-cochin 0.45144742727279663, Santiago 0.3988550007343292, Houston 0.3945026397705078, Taormina 0.39092040061950684, Cologne 0.3897116184234619, Seoul 0.38854265213012695, Sorrento 0.34934595227241516, Irkutsk 0.34847119450569153
Minneapolis= Hanoi 0.8276752233505249, Tallinn 0.6797142624855042, San-Diego 0.6785887479782104, Niagara-Falls 0.6750388741493225, Oakland 0.6702598929405212, Strasbourg 0.6663675904273987, Tirol 0.6662888526916504, Guatemala-City 0.6621388792991638, Sochi 0.661963701248169, rostov-veliky 0.6295591592788696
brisbane= Bratislava 0.8301340341567993, Iraq 0.7711520195007324, Santorini-thira 0.7539703845977783, Marmaris 0.7493053674697876, Fort-Lauderdale 0.7186539769172668, Vilnius 0.7129671573638916, Palma-de-Mallorca 0.7032665610313416, Tirana 0.6953229904174805, Ljubljana 0.6469931602478027, Lima 0.6296441555023193
Irkutsk= Nahariya 0.5330652594566345, Colombo 0.524962842464447, Berlin 0.42169034481048584, Borovets 0.40166938304901123, rostov-veliky 0.3988754153251648, Mahe 0.388624906539917, San-Juan-Bautista 0.38109079003334045, Minneapolis 0.35625338554382324, washington-dc 0.352749764919281, Tirol 0.35267120599746704
Mombasa= Salzburg 0.734695553779602, Palermo 0.7231131792068481, Grenoble 0.7123149633407593, Mykonos 0.7084118723869324, Frankfurt-region 0.6625953316688538, Marseille 0.6484155654907227, Male 0.6276227235794067, Belgrade 0.6115097999572754, Kalamata 0.5993621349334717, Geneva 0.5859161019325256
